date,tplb,d2m,u10,v10,t2m,sst,sp
2020/1/8 17:00,427.0516005,295.5488211,-6.20006148,-5.033058802,298.7247407,299.4550627,101308.6793
2020/1/8 18:00,404.1784174,295.5582839,-6.225115635,-4.885760685,298.7049588,299.4543913,101294.3175
2020/1/8 19:00,373.6744824,295.5633924,-6.247195382,-4.749480782,298.6939386,299.4533424,101282.5042
2020/1/8 20:00,349.706505,295.5652975,-6.252901446,-4.617387161,298.6928608,299.4517064,101277.705
2020/1/8 21:00,332.8085284,295.5658869,-6.21952666,-4.494749168,298.7009978,299.4491561,101281.9991
2020/1/8 22:00,319.7989988,295.5636541,-6.104897443,-4.402199574,298.7173952,299.4451814,101294.0351
2020/1/8 23:00,311.5412653,295.5704074,-6.035519421,-4.315737563,298.7498409,299.4426306,101312.9265
2020/1/9 0:00,304.6828257,295.5847745,-5.975783962,-4.243258291,298.802178,299.4409937,101335.3834
2020/1/9 1:00,298.3790331,295.6056034,-5.907120999,-4.185645169,298.8693514,299.4399433,101352.7723
2020/1/9 2:00,293.3643806,295.6309975,-5.817188033,-4.153633795,298.9397597,299.4392693,101356.4398
2020/1/9 3:00,289.9770512,295.6580427,-5.704587351,-4.148084587,298.9987737,299.4388369,101340.7976
2020/1/9 4:00,288.3259984,295.6846385,-5.576372546,-4.164945528,299.0443055,299.4385596,101306.976
2020/1/9 5:00,290.2681938,295.7106835,-5.456166556,-4.208163931,299.0731709,299.438382,101264.4405
2020/1/9 6:00,300.4343616,295.7357526,-5.353519794,-4.270234572,299.0861628,299.4382685,101217.1182
2020/1/9 7:00,321.4301559,295.7587767,-5.286243104,-4.355159242,299.0865372,299.4381965,101180.3638
2020/1/9 8:00,343.3290755,295.7754671,-5.2529719,-4.452488256,299.0676934,299.4381514,101156.6046
2020/1/9 9:00,362.4233112,295.7793641,-5.232724043,-4.557661046,299.0316818,299.4381244,101149.5628
2020/1/9 10:00,380.0515271,295.758806,-5.209313304,-4.670992533,298.9764165,299.43811,101157.4478
2020/1/9 11:00,397.2470258,295.7564513,-5.250236111,-4.736344675,298.9206166,299.4381053,101169.9914
2020/1/9 12:00,412.6637166,295.7605334,-5.32408955,-4.752172461,298.8645798,299.4381094,101179.9874
2020/1/9 13:00,424.3347472,295.764307,-5.399236252,-4.728999144,298.8069223,299.4381231,101186.3315
2020/1/9 14:00,433.3574173,295.7635121,-5.454741193,-4.685168727,298.7484404,299.4381492,101186.0217
2020/1/9 15:00,441.3636063,295.7581844,-5.486433319,-4.632109179,298.6903419,299.4381929,101176.8126
2020/1/9 16:00,447.6747092,295.7493615,-5.490730268,-4.578168578,298.6357545,299.4382629,101161.9697
2020/1/9 17:00,451.9075931,295.7358367,-5.478001619,-4.537584814,298.5879342,299.4383732,101146.3585
2020/1/9 18:00,452.490365,295.7179921,-5.445835136,-4.510304006,298.5486389,299.4385459,101128.6341
2020/1/9 19:00,445.2572485,295.6969861,-5.410982821,-4.494583023,298.5245912,299.4388154,101119.052
2020/1/9 20:00,444.1437987,295.6740149,-5.370422351,-4.480414674,298.5169833,299.4392358,101121.0155
2020/1/9 21:00,444.0395549,295.6493095,-5.316891941,-4.465678017,298.5266045,299.4398911,101134.1484
2020/1/9 22:00,445.1389138,295.6227274,-5.240125041,-4.449457705,298.5520908,299.4409124,101157.9557
2020/1/9 23:00,449.0613121,295.605092,-5.203264575,-4.437400227,298.5882027,299.4415681,101187.0078
2020/1/10 0:00,452.6489506,295.5931054,-5.189429933,-4.418551961,298.6392504,299.4419892,101216.0074
2020/1/10 1:00,454.0796259,295.5844143,-5.172384397,-4.393217461,298.7021294,299.4422601,101237.2633
2020/1/10 2:00,451.8957364,295.578765,-5.133256516,-4.370539147,298.7679572,299.4424349,101244.6848
2020/1/10 3:00,445.7085302,295.5760016,-5.059461836,-4.355871981,298.82441,299.4425487,101232.107
2020/1/10 4:00,434.814135,295.5761232,-4.953400162,-4.351673393,298.8686353,299.442624,101201.5242
2020/1/10 5:00,423.4015756,295.578445,-4.82325481,-4.361001232,298.8968443,299.4426761,101157.6764
2020/1/10 6:00,411.4717161,295.5812998,-4.686625984,-4.389393492,298.9121187,299.4427152,101111.8246
2020/1/10 7:00,397.0912049,295.5851722,-4.564570178,-4.43724812,298.9177898,299.4427493,101075.7098
2020/1/10 8:00,386.5015064,295.5883686,-4.464946606,-4.498674352,298.912456,299.4427852,101053.4131
2020/1/10 9:00,377.6043292,295.5851226,-4.382115623,-4.562372926,298.8943968,299.44283,101048.0145
2020/1/10 10:00,371.6385429,295.5639536,-4.301689614,-4.619139056,298.8604297,299.4428928,101055.0798
